product_id,name,category,price
1,Proactive value-added support,Clothing,124.41
2,Open-source actuating model,Clothing,91.43
3,Multi-lateral content-based contingency,Health,384.71
4,Ergonomic static workforce,Sports,112.28
5,Face-to-face system-worthy toolset,Beauty,486.87
6,Right-sized system-worthy algorithm,Toys,319.52
7,Function-based hybrid database,Books,498.43
8,Pre-emptive motivating customer loyalty,Electronics,265.64
9,Customer-focused global moderator,Electronics,380.09
10,Seamless radical superstructure,Outdoors,397.82
11,Quality-focused motivating success,Books,149.81
12,Configurable clear-thinking firmware,Books,147.15
13,Vision-oriented reciprocal collaboration,Home,192.13
14,Monitored discrete focus group,Toys,42.32
15,Streamlined demand-driven budgetary management,Clothing,150.43
16,Mandatory leadingedge circuit,Electronics,449.76
17,Phased holistic firmware,Books,194.08
18,Horizontal tertiary encoding,Health,23.53
19,Mandatory tertiary interface,Clothing,418.52
20,Up-sized 4thgeneration groupware,Clothing,329.7
21,Total bifurcated initiative,Health,464.09
22,Optional demand-driven productivity,Home,211.15
23,Optimized global concept,Health,163.32
24,Self-enabling motivating toolset,Beauty,350.98
25,Reverse-engineered mobile contingency,Beauty,240.09
26,Synergized stable flexibility,Health,305.92
27,Operative national emulation,Electronics,378.01
28,Reactive directional complexity,Beauty,148.72
29,Phased real-time policy,Clothing,201.89
30,Cross-platform grid-enabled support,Beauty,179.08
31,Object-based executive moratorium,Clothing,426.65
32,Devolved eco-centric implementation,Sports,36.94
33,Up-sized interactive middleware,Outdoors,227.56
34,Multi-layered zero tolerance archive,Health,329.35
35,Managed web-enabled firmware,Books,408.73
36,Synchronized interactive database,Books,371.59
37,Cross-platform contextually-based software,Home,57.89
38,Business-focused stable service-desk,Automotive,313.66
39,Fully-configurable dynamic capacity,Toys,352.69
40,Phased bi-directional task-force,Toys,225.76
41,Customizable 24/7 core,Books,49.89
42,Devolved didactic help-desk,Books,163.23
43,Robust encompassing open architecture,Automotive,314.23
44,Up-sized global paradigm,Sports,187.8
45,Horizontal maximized software,Clothing,451.7
46,Proactive analyzing infrastructure,Clothing,76.08
47,Persistent eco-centric Graphic Interface,Home,350.82
48,Implemented tangible policy,Clothing,374.89
49,Streamlined impactful solution,Clothing,386.86
50,Secured 5thgeneration Local Area Network,Electronics,158.85
51,Centralized 3rdgeneration Graphical User Interface,Automotive,168.74
52,Implemented multimedia core,Toys,424.49
53,Fundamental homogeneous framework,Books,149.26
54,Business-focused user-facing software,Beauty,451.35
55,Open-source grid-enabled success,Clothing,291.4
56,Synchronized transitional frame,Electronics,186.72
57,Multi-layered tertiary extranet,Beauty,41.55
58,Exclusive demand-driven installation,Beauty,214.7
59,Mandatory clear-thinking knowledge user,Books,149.36
60,Sharable 6thgeneration leverage,Books,68.74
61,Profit-focused mobile data-warehouse,Electronics,219.54
62,Cross-group context-sensitive challenge,Toys,51.14
63,Business-focused optimal structure,Beauty,283.87
64,Managed next generation encoding,Toys,477.8
65,Upgradable interactive synergy,Sports,332.68
66,Phased tertiary middleware,Clothing,270.1
67,Operative tertiary project,Clothing,380.3
68,Operative stable policy,Automotive,313.14
69,Proactive stable contingency,Sports,17.28
70,Programmable bottom-line firmware,Clothing,408.19
71,Optimized analyzing ability,Beauty,387.42
72,Multi-channeled intangible artificial intelligence,Health,223.19
73,Sharable reciprocal neural-net,Electronics,88.45
74,Multi-lateral clear-thinking matrix,Books,378.4
75,Integrated clear-thinking product,Automotive,427.76
76,Integrated demand-driven capacity,Home,73.5
77,Versatile discrete toolset,Automotive,153.8
78,Function-based scalable throughput,Beauty,203.53
79,Phased radical approach,Health,458.48
80,Compatible mobile help-desk,Outdoors,284.74
81,Distributed disintermediate service-desk,Toys,103.17
82,Reduced impactful projection,Sports,374.95
83,Organic asymmetric model,Sports,330.86
84,Down-sized asymmetric concept,Outdoors,342.15
85,Function-based responsive implementation,Automotive,142.87
86,Persistent upward-trending superstructure,Automotive,175.17
87,Sharable multi-tasking adapter,Books,285.72
88,Diverse value-added data-warehouse,Outdoors,435.52
89,Organized fresh-thinking portal,Toys,117.4
90,Mandatory grid-enabled contingency,Beauty,307.76
91,Cross-platform mission-critical complexity,Toys,401.91
92,Devolved maximized service-desk,Electronics,67.19
93,Focused solution-oriented intranet,Sports,300.56
94,Virtual leadingedge emulation,Home,491.4
95,Front-line non-volatile toolset,Books,427.99
96,Universal client-server instruction set,Beauty,193.37
97,Open-architected bi-directional software,Electronics,299.85
98,Visionary empowering analyzer,Home,168.82
99,Seamless 24/7 Graphic Interface,Toys,359.87
100,Virtual 4thgeneration structure,Books,481.58
101,Optional composite moderator,Sports,67.69
102,Organized 6thgeneration middleware,Beauty,326.38
103,Proactive next generation hierarchy,Clothing,334.6
104,Persevering mobile encoding,Books,242.91
105,Optional cohesive complexity,Clothing,288.4
106,User-centric exuding adapter,Toys,64.13
107,Extended tertiary analyzer,Beauty,131.83
108,Networked full-range time-frame,Clothing,103.45
109,Function-based well-modulated synergy,Toys,102.74
110,Exclusive maximized function,Home,114.61
111,Compatible dedicated paradigm,Electronics,223.61
112,Exclusive reciprocal functionalities,Toys,96.65
113,Managed intermediate access,Outdoors,466.6
114,Function-based object-oriented matrix,Toys,234.65
115,Business-focused encompassing moratorium,Sports,343.91
116,Re-contextualized intangible Graphical User Interface,Books,444.54
117,Fully-configurable logistical archive,Toys,496.24
118,Advanced context-sensitive knowledgebase,Beauty,337.82
119,Robust radical paradigm,Electronics,34.06
120,Expanded reciprocal array,Outdoors,100.24
121,Ergonomic empowering software,Home,29.76
122,De-engineered exuding moratorium,Sports,422.85
123,Polarized even-keeled policy,Health,213.48
124,Automated responsive info-mediaries,Beauty,71.1
125,Down-sized methodical data-warehouse,Outdoors,425.28
126,Quality-focused impactful secured line,Beauty,259.66
127,Managed holistic hierarchy,Toys,479.04
128,Multi-tiered heuristic strategy,Health,286.57
129,Devolved solution-oriented adapter,Sports,76.83
130,Programmable full-range Graphical User Interface,Clothing,223.54
131,Synergized eco-centric task-force,Sports,147.29
132,Persistent didactic array,Beauty,110.02
133,Extended actuating matrix,Health,351.06
134,Horizontal zero tolerance structure,Books,188.09
135,Implemented motivating Local Area Network,Electronics,410.5
136,Open-source 5thgeneration knowledge user,Home,330.48
137,Adaptive attitude-oriented flexibility,Electronics,254.2
138,Reverse-engineered fault-tolerant architecture,Outdoors,473.95
139,Re-contextualized well-modulated forecast,Automotive,183.27
140,Advanced motivating function,Automotive,452.41
141,Public-key well-modulated moratorium,Home,249.12
142,Multi-channeled multimedia firmware,Books,18.49
143,Organic clear-thinking secured line,Outdoors,417.11
144,Ergonomic system-worthy circuit,Books,498.92
145,Triple-buffered bandwidth-monitored concept,Electronics,33.74
146,Versatile neutral ability,Sports,142.53
147,Multi-layered discrete conglomeration,Toys,128.38
148,Automated 4thgeneration methodology,Toys,318.66
149,Enterprise-wide 24/7 knowledgebase,Electronics,407.06
150,Face-to-face non-volatile throughput,Electronics,326.41
